Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting,HoloPleisto
213002,Hasan Dagi,Turkey,Stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.13,34.17,3253,Dacite,Intraplate / Continental crust (>25 km),Holocene
213003,Gollu Dag,Turkey,Lava dome,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Turkey,38.25,34.57,2143,Rhyolite,Intraplate / Continental crust (>25 km),Holocene
213004,Acigol-Nevsehir,Turkey,Caldera,Eruption Dated,2080 BCE,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Rhyolite,Intraplate / Continental crust (>25 km),Holocene
213010,Erciyes Dagi,Turkey,Stratovolcano,Eruption Dated,6880 BCE,Mediterranean and Western Asia,Turkey,38.531,35.447,3864,Dacite,Intraplate / Continental crust (>25 km),Holocene
213011,Karaca Dag,Turkey,Shield,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,37.67,39.83,1957,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),Holocene
213020,Nemrut Dagi,Turkey,Stratovolcano,Eruption Observed,1650 CE,Mediterranean and Western Asia,Turkey,38.654,42.229,2948,Rhyolite,Intraplate / Continental crust (>25 km),Holocene
213030,Tenduruk Dagi,Turkey,Shield,Eruption Observed,1855 CE,Mediterranean and Western Asia,Turkey,39.356,43.874,3514,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),Holocene
213040,Ararat,Turkey,Stratovolcano,Eruption Observed,1840 CE,Mediterranean and Western Asia,Turkey,39.7,44.3,5165,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
214010,Elbrus,Russia,Stratovolcano,Eruption Dated,50 CE,Mediterranean and Western Asia,Western Asia,43.351,42.442,5642,Dacite,Intraplate / Continental crust (>25 km),Holocene
214020,Kazbek,Georgia,Stratovolcano,Eruption Dated,750 BCE,Mediterranean and Western Asia,Western Asia,42.7,44.5,5050,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
214050,Samsari Volcanic Center,Georgia,Lava cone(s),Evidence Uncertain,Unknown,Mediterranean and Western Asia,Western Asia,41.542,43.7,3290,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
214060,Aragats,Armenia,Stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Western Asia,40.53,44.2,4095,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
214070,Ghegham Volcanic Ridge,Armenia,Volcanic field,Eruption Dated,1900 BCE,Mediterranean and Western Asia,Western Asia,40.283,45,3597,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
214080,Vaiyots-Sar,Armenia,Pyroclastic cone(s),Eruption Dated,2000 BCE,Mediterranean and Western Asia,Western Asia,39.797,45.497,2575,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
214090,Porak,Armenia-Azerbaijan,Stratovolcano,Eruption Dated,778 BCE,Mediterranean and Western Asia,Western Asia,40.028,45.74,3029,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Pyroclastic cone(s),Eruption Dated,3000 BCE,Mediterranean and Western Asia,Western Asia,39.742,45.992,3139,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),Holocene
221010,"Tair, Jebel at",Yemen,Stratovolcano,Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.55,41.83,244,Trachybasalt / Tephrite Basanite,Rift zone / Oceanic crust (< 15 km),Holocene
221020,Zubair Group,Yemen,Shield,Eruption Observed,2013 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.05,42.18,191,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km),Holocene
221021,Zukur,Yemen,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.02,42.75,624,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km),Holocene
221022,Hanish,Yemen,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.72,42.73,422,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km),Holocene
221040,Alid,Eritrea,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.88,39.92,904,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221041,Dallol,Ethiopia,Explosion crater(s),Eruption Observed,2011 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,14.242,40.3,-48,No Data (checked),Rift zone / Intermediate crust (15-25 km),Holocene
221050,Gada Ale,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.975,40.408,287,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221060,Alu-Dalafilla,Ethiopia,Fissure vent(s),Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221071,Bora Ale,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.725,40.6,668,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221080,Erta Ale,Ethiopia,Shield,Eruption Observed,2020 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.6,40.67,613,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221090,Ale Bagu,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.512,40.631,988,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221091,Hayli Gubbi,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.51,40.722,493,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221100,Dubbi,Eritrea,Stratovolcano,Eruption Observed,1861 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.579,41.809,1625,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221101,Nabro,Eritrea,Stratovolcano,Eruption Observed,2012 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.37,41.7,2218,Trachyte / Trachydacite,Rift zone / Intermediate crust (15-25 km),Holocene
221102,Mallahle,Ethiopia-Eritrea,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.27,41.65,1875,Trachyte / Trachydacite,Rift zone / Intermediate crust (15-25 km),Holocene
221103,Sork Ale,Ethiopia-Eritrea,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.18,41.725,1611,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221104,Asavyo,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.098,41.599,1338,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221105,Mat Ala,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.106,41.161,493,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221106,Tat Ali,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.284,41.063,655,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221107,Borawli,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.304,40.987,784,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221110,Afdera,Ethiopia,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853,1250,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221111,Ma Alalta,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.013,40.185,1745,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221112,Alayta,Ethiopia,Shield,Eruption Observed,1915 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221113,Dabbahu,Ethiopia,Stratovolcano,Eruption Observed,2005 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.595,40.48,1401,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221114,Dabbayra,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,40.07,1302,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221115,Manda Hararo,Ethiopia,Shield(s),Eruption Observed,2009 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.17,40.82,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221116,Groppo,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.816,40.242,852,,Rift zone / Intermediate crust (15-25 km),Holocene
221120,Kurub,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.88,41.208,625,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221122,Manda-Inakir,Ethiopia-Djibouti,Fissure vent(s),Eruption Observed,1928 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,42.2,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.469,42.404,1993,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221124,Gufa,Eritrea-Djibouti,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.55,42.53,600,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221125,Assab Volcanic Field,Eritrea,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.95,42.43,987,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221126,Ardoukoba,Djibouti,Fissure vent(s),Eruption Observed,1978 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.58,42.47,298,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221127,Manda Gargori,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.75,41.48,700,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221141,Dama Ali,Ethiopia,Shield,Eruption Observed,1631 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.28,41.63,1068,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221150,Gabillema,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.08,41.27,1459,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221151,Yangudi,Ethiopia,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.58,41.042,1383,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221160,Ayelu,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.082,40.702,2145,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221170,Adwa,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.07,40.84,1733,Rhyolite,Rift zone / Intermediate crust (15-25 km),Holocene
221171,Hertali,Ethiopia,Fissure vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.78,40.33,900,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221172,Liado Hayk,Ethiopia,Maar(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.57,40.28,878,No Data (checked),Rift zone / Continental crust (>25 km),Holocene
221180,Dofan,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.35,40.13,1151,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221190,Fentale,Ethiopia,Stratovolcano,Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.975,39.93,2007,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221191,Beru,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.95,39.75,1100,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
221200,Kone,Ethiopia,Caldera(s),Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.788,39.701,1380,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221210,Boset-Bericha,Ethiopia,Stratovolcano(es),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.558,39.475,2447,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221220,Bishoftu Volcanic Field,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.78,38.98,1850,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
221222,Sodore,Ethiopia,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.43,39.35,1765,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),Holocene
221230,Gedamsa,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.357,39.188,1873,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221240,Bora-Bericcio,Ethiopia,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.221,39.05,2267,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221250,Tullu Moje,Ethiopia,Pyroclastic cone,Eruption Observed,1900 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.159,39.137,2343,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221251,Unnamed,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.013,39.062,1886,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),Holocene
221252,East Zway,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.874,38.902,1889,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
221260,Butajiri-Silti Field,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.05,38.35,2281,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
221270,Alutu,Ethiopia,Stratovolcano,Eruption Dated,50 BCE,Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221280,O'a Caldera,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.47,38.58,2075,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221290,Corbetti Caldera,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.193,38.39,2320,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
221291,Bilate River Field,Ethiopia,Maar(s),Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.07,38.1,1700,No Data (checked),Intraplate / Continental crust (>25 km),Holocene
221292,Tepi,Ethiopia,Shield,Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.42,35.43,2728,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),Holocene
221294,Northern Lake Abaya Volcanic Field,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,6.76,37.97,1594,,Intraplate / Continental crust (>25 km),Holocene
221311,East Chamo Basin,Ethiopia,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.708,37.713,1150,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
221320,Korath Range,Ethiopia,Tuff cone(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.1,35.88,912,Trachybasalt / Tephrite Basanite,Rift zone / Intermediate crust (15-25 km),Holocene
221330,Mega Basalt Field,Ethiopia-Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,4.063,37.488,1111,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),Holocene
222001,North Island,Kenya,Tuff cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),4.059,36.049,490,Trachyandesite / Basaltic Trachyandesite,Rift zone / Continental crust (>25 km),Holocene
222010,Central Island,Kenya,Tuff cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),3.496,36.04,518,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222020,South Island,Kenya,Stratovolcano,Eruption Observed,1888 CE,Africa and Red Sea,Africa (eastern),2.63,36.6,800,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222021,Marsabit,Kenya,Shield,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (eastern),2.32,37.97,1707,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222030,"Barrier, The",Kenya,Shield,Eruption Observed,1921 CE,Africa and Red Sea,Africa (eastern),2.32,36.57,1032,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222040,Namarunu,Kenya,Shield,Eruption Dated,6550 BCE,Africa and Red Sea,Africa (eastern),1.98,36.43,817,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222050,Segererua Plateau,Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),1.57,37.9,699,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222051,Emuruangogolak,Kenya,Shield,Eruption Dated,1910 CE,Africa and Red Sea,Africa (eastern),1.5,36.33,1285,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222052,Silali,Kenya,Shield,Eruption Dated,5050 BCE,Africa and Red Sea,Africa (eastern),1.15,36.23,1528,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222053,Paka,Kenya,Shield,Eruption Dated,7550 BCE,Africa and Red Sea,Africa (eastern),0.92,36.18,1697,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222054,Korosi,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.77,36.12,1446,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222055,Ol Kokwe,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.62,36.075,1130,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222056,Nyambeni Hills,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.23,37.87,750,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222060,Menengai,Kenya,Shield,Eruption Dated,6050 BCE,Africa and Red Sea,Africa (eastern),-0.2,36.07,2278,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222070,Homa Mountain,Kenya,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.38,34.5,1751,Foidite,Rift zone / Continental crust (>25 km),Holocene
222071,Elmenteita Badlands,Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.52,36.27,2126,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),Holocene
222080,"Eburru, Ol Doinyo",Kenya,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.65,36.22,2856,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
222090,Olkaria,Kenya,Pyroclastic cone(s),Eruption Dated,1770 CE,Africa and Red Sea,Africa (eastern),-0.904,36.292,2434,Rhyolite,Rift zone / Continental crust (>25 km),Holocene
222100,Longonot,Kenya,Stratovolcano,Eruption Dated,1863 CE,Africa and Red Sea,Africa (eastern),-0.914,36.446,2776,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222110,Suswa,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-1.151,36.357,2356,Phonolite,Rift zone / Continental crust (>25 km),Holocene
222120,"Lengai, Ol Doinyo",Tanzania,Stratovolcano,Eruption Observed,2020 CE,Africa and Red Sea,Africa (eastern),-2.764,35.914,2962,Foidite,Rift zone / Continental crust (>25 km),Holocene
222130,Chyulu Hills,Kenya,Volcanic field,Eruption Dated,1855 CE,Africa and Red Sea,Africa (eastern),-2.68,37.88,2188,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km),Holocene
222160,Meru,Tanzania,Stratovolcano,Eruption Observed,1910 CE,Africa and Red Sea,Africa (eastern),-3.25,36.75,4565,Phonolite,Rift zone / Continental crust (>25 km),Holocene
222161,Igwisi Hills,Tanzania,Pyroclastic cone(s),Eruption Dated,10450 BCE,Africa and Red Sea,Africa (eastern),-4.889,31.933,1146,Foidite,Rift zone / Continental crust (>25 km),Holocene
222164,Ngozi,Tanzania,Caldera,Eruption Dated,1450 CE,Africa and Red Sea,Africa (eastern),-8.989,33.554,2614,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222166,Rungwe,Tanzania,Stratovolcano,Eruption Dated,1250 CE,Africa and Red Sea,Africa (eastern),-9.135,33.668,2953,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
222170,Kyejo,Tanzania,Stratovolcano,Eruption Observed,1800 CE,Africa and Red Sea,Africa (eastern),-9.229,33.792,2176,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),Holocene
223001,Fort Portal,Uganda,Tuff cone(s),Eruption Dated,2120 BCE,Africa and Red Sea,Africa (central),0.7,30.25,1615,Foidite,Rift zone / Continental crust (>25 km),Holocene
