"postcode","suburb","state","dc","type","lat","lon"
820,"CULLEN BAY","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.454108","130.822898"
820,"EAST POINT","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.426947","130.836128"
820,"FANNIE BAY","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.423707","130.836623"
820,"LARRAKEYAH","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.459211","130.830686"
820,"LUDMILLA","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.425888","130.851446"
820,"PARAP","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.432181","130.84331"
820,"STUART PARK","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.4389","130.843067"
820,"THE GARDENS","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.46303","130.841596"
820,"THE NARROWS","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.425149","130.859165"
820,"WINNELLIE","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.426641","130.882367"
820,"WOOLNER","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.43754","130.848872"
821,"WINNELLIE","NT","WINNELLIE","Post Office Boxes                            ","-12.426641","130.882367"
822,"ACACIA HILLS","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.799278","131.131697"
822,"BEES CREEK","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.571462","131.059047"
822,"COX PENINSULA","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.715959","130.875404"
822,"DALY RIVER","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-13.988234","130.402149"
822,"FLEMING","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-14.05834","131.412028"
822,"GUNN POINT","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.316964","131.129559"
822,"LAMBELLS LAGOON","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.569228","131.237821"
822,"LIVINGSTONE","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.730838","131.038993"
822,"MANINGRIDA","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.086972","134.271016"
822,"MARRAKAI","NT","NULL","Post Office Boxes                            ","-12.361331","130.876795"
822,"MCMINNS LAGOON","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.542204","131.079417"
822,"MIDDLE POINT","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.646157","131.015033"
822,"MILIKAPITI","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.411749","130.948361"
822,"NGUIU","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-11.764711","130.314401"
822,"OENPELLI","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.414984","132.987357"
822,"POINT STEPHENS","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-23.721252","133.884318"
822,"PULARUMPI","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.447299","131.004516"
822,"SOUTHPORT","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.742355","130.956082"
822,"UMBAKUMBA","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-13.848676","136.428043"
822,"WADEYE","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-14.17407","130.13833"
822,"WAGAIT BEACH","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.433507","130.748017"
822,"WEDDELL","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.434023","130.84112"
822,"WINNELLIE","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.426641","130.882367"
822,"WOOLANING","NT","DARWIN DELIVERY CENTRE","Post Office Boxes                            ","-12.419838","130.949418"
828,"BERRIMAH","NT","BERRIMAH","Delivery Area                                ","-12.474896","130.907378"
828,"KNUCKEY LAGOON","NT","BERRIMAH","Delivery Area                                ","-12.426825","130.934141"
829,"HOLTZE","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-14.460879","132.280002"
830,"DRIVER","NT","PALMERSTON DC","Delivery Area                                ","-12.487233","130.972637"
830,"DURACK","NT","PALMERSTON DC","Delivery Area                                ","-12.193006","136.763961"
830,"FARRAR","NT","PALMERSTON DC","Delivery Area                                ","-12.480219","130.997607"
830,"GRAY","NT","PALMERSTON DC","Delivery Area                                ","-12.384847","130.872981"
830,"MARLOW LAGOON","NT","PALMERSTON DC","Delivery Area                                ","-12.446554","130.923435"
830,"MOULDEN","NT","PALMERSTON DC","Delivery Area                                ","-12.511316","130.974467"
830,"PALMERSTON","NT","PALMERSTON DC","Delivery Area                                ","-12.480066","130.984006"
830,"SHOAL BAY","NT","PALMERSTON DC","Delivery Area                                ","-12.394902","130.924268"
830,"WOODROFFE","NT","PALMERSTON DC","Delivery Area                                ","-12.504958","130.981903"
830,"YARRAWONGA","NT","PALMERSTON DC","Delivery Area                                ","-12.471149","130.984917"
831,"PALMERSTON","NT","PALMERSTON DC","Post Office Boxes                            ","-12.480066","130.984006"
832,"GUNN","NT","PALMERSTON DC","Delivery Area                                ","-12.492269","130.990891"
832,"MITCHELL","NT","PALMERSTON DC","Delivery Area                                ","-12.460386","130.837001"
832,"ROSEBERY","NT","PALMERSTON DC","Delivery Area                                ","-12.501969","130.988349"
832,"ROSEBERY HEIGHTS","NT","PALMERSTON DC","Delivery Area                                ","-12.501969","130.988349"
835,"HOWARD SPRINGS","NT","HOWARD SPRINGS LPO","Delivery Area                                ","-12.48138","131.029173"
835,"VIRGINIA","NT","HOWARD SPRINGS LPO","Delivery Area                                ","-12.545626","131.029268"
836,"GIRRAWEEN","NT","HUMPTY DOO LPO","Delivery Area                                ","-12.525546","131.103025"
836,"HERBERT","NT","HUMPTY DOO LPO","Delivery Area                                ","-14.462901","132.280885"
837,"MANTON","NT","NOONAMAH CMA","Delivery Area                                ","-12.460094","130.842663"
838,"BERRY SPRINGS","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.709507","130.995407"
840,"DUNDEE BEACH","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.717562","130.351316"
840,"DUNDEE DOWNS","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.771275","130.527516"
840,"DUNDEE FOREST","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.749956","130.524993"
841,"DARWIN RIVER","NT","DARWIN DELIVERY CENTRE","Delivery Area                                ","-12.801028","130.955789"
845,"BATCHELOR","NT","BATCHELOR","Delivery Area                                ","-13.038663","131.072091"
846,"ADELAIDE RIVER","NT","ADELAIDE RIVER","Delivery Area                                ","-13.226806","131.098416"
847,"PINE CREEK","NT","PINE CREEK","Delivery Area                                ","-13.824123","131.835799"
850,"KATHERINE","NT","KATHERINE POST SHOP","Delivery Area                                ","-14.464497","132.262021"
851,"KATHERINE","NT","KATHERINE POST SHOP","Post Office Boxes                            ","-14.464497","132.262021"
852,"BESWICK","NT","KATHERINE POST SHOP","Delivery Area                                ","-14.92267","133.064654"
852,"DALY WATERS","NT","KATHERINE POST SHOP","Delivery Area                                ","-16.252155","133.367852"
852,"KATHERINE","NT","KATHERINE POST SHOP","Delivery Area                                ","-14.464497","132.262021"
852,"LAJAMANU","NT","KATHERINE POST SHOP","Delivery Area                                ","-19.141443","130.051529"
852,"LARRIMAH","NT","KATHERINE POST SHOP","Delivery Area                                ","-15.62712","132.944488"
852,"MANBULLOO","NT","KATHERINE POST SHOP","Delivery Area                                ","-12.360929","130.880316"
852,"NUMBULWAR","NT","KATHERINE POST SHOP","Delivery Area                                ","-14.65403","134.78167"
852,"WAVE HILL","NT","KATHERINE POST SHOP","Delivery Area                                ","-17.450131","130.103437"
854,"BORROLOOLA","NT","KATHERINE POST SHOP","Delivery Area                                ","-16.81839","137.14707"
860,"TENNANT CREEK","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-19.648306","134.186642"
861,"BRUNCHILLY","NT","TENNANT CREEK POST SHOP","Post Office Boxes                            ","-18.94406","134.318373"
861,"TENNANT CREEK","NT","TENNANT CREEK POST SHOP","Post Office Boxes                            ","-19.648306","134.186642"
862,"AVON DOWNS","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-20.231104","137.762232"
862,"CRESSWELL DOWNS","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-17.939922","135.588193"
862,"ELLIOTT","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-23.684","133.869007"
862,"HELEN SPRINGS","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-18.409609","133.882689"
862,"MUCKATY STATION","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-18.629682","133.906927"
862,"NEWCASTLE WATERS","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-17.54887","133.538826"
862,"RENNER SPRINGS","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-23.695949","133.889816"
862,"TENNANT CREEK","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-19.648306","134.186642"
862,"WARREGO","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-19.512201","134.068348"
862,"WOLLOGORANG STATION","NT","TENNANT CREEK POST SHOP","Delivery Area                                ","-17.142478","137.591784"
870,"ALICE SPRINGS","NT","ALICE SPRINGS DC","Delivery Area                                ","-12.436101","130.84059"
871,"ALICE SPRINGS","NT","ALICE SPRINGS DC","Post Office Boxes                            ","-12.436101","130.84059"
872,"ALI CURUNG","NT","ALICE SPRINGS DC","Delivery Area                                ","-20.998545","134.3822"
872,"ALICE SPRINGS","NT","ALICE SPRINGS DC","Delivery Area                                ","-12.436101","130.84059"
872,"AMATA","NT","ALICE SPRINGS DC","Delivery Area                                ","-25.962716","131.606872"
872,"AMOONGUNA","NT","ALICE SPRINGS DC","Delivery Area                                ","-23.747506","133.926632"
872,"AREYONGA","NT","ALICE SPRINGS DC","Delivery Area                                ","-24.166937","132.286759"
872,"ERLDUNDA","NT","ALICE SPRINGS DC","Delivery Area                                ","-12.364467","130.876251"
872,"FINKE","NT","ALICE SPRINGS DC","Delivery Area                                ","-25.698005","134.339708"
872,"GIBSON DESERT NORTH","WA","ALICE SPRINGS DC","Delivery Area                                ","-22.590927","125.664556"
872,"HAASTS BLUFF","NT","ALICE SPRINGS DC","Delivery Area                                ","-23.509293","132.185203"
872,"KINTORE","NT","ALICE SPRINGS DC","Delivery Area                                ","-12.486851","130.991347"
872,"SANTA TERESA","NT","ALICE SPRINGS DC","Delivery Area                                ","-24.730598","135.332238"
872,"TI TREE","NT","ALICE SPRINGS DC","Delivery Area                                ","-12.477758","131.068332"
872,"ULURU","NT","ALICE SPRINGS DC","Delivery Area                                ","-12.486152","130.992541"
872,"WILLOWRA","NT","ALICE SPRINGS DC","Delivery Area                                ","-21.717344","133.030085"
872,"YUELAMU","NT","ALICE SPRINGS DC","Delivery Area                                ","-22.391277","132.11368"
872,"YUENDUMU","NT","ALICE SPRINGS DC","Delivery Area                                ","-22.25909","131.808398"
872,"YULARA","NT","ALICE SPRINGS DC","Delivery Area                                ","-25.242047","130.98556"
880,"GOVE","NT","NHULUNBUY","Delivery Area                                ","-12.378064","130.871791"
880,"NHULUNBUY","NT","NHULUNBUY","Delivery Area                                ","-12.18421","136.783889"
881,"NHULUNBUY","NT","NHULUNBUY","Post Office Boxes                            ","-12.18421","136.783889"
886,"JABIRU","NT","JABIRU","Delivery Area                                ","-12.381028","130.893097"
906,"WINNELLIE","NT","DARWIN MC","LVR                                          ","-12.426641","130.882367"
907,"WINNELLIE","NT","DARWIN MC","LVR                                          ","-12.426641","130.882367"
1001,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1002,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1003,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1004,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1005,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1006,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1007,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1008,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1009,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1010,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1011,"SYDNEY","NSW","SYDNEY WEST LETTERS FACILITY","LVR                                          ","-33.794883","151.268071"
1020,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1021,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1022,"SYDNEY","NSW","SYDNEY GPO","LVR                                          ","-33.794883","151.268071"
1023,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1025,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1026,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1027,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1028,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1029,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1030,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1031,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1032,"SYDNEY","NSW","NULL","LVR                                          ","-33.662834","150.874182"
1033,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1034,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1035,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1036,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1037,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1038,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1039,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1040,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1041,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1042,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1043,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1044,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1045,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1046,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1100,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1101,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1105,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1106,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1107,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1108,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1109,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1110,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1112,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1113,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1114,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1115,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1116,"SYDNEY","NSW","NULL","LVR                                          ","-33.666729","150.866145"
1117,"SYDNEY","NSW","CITY PBC OPERATIONS","LVR                                          ","-33.664575","150.87022"
1118,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1119,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1120,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1121,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1122,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1123,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1124,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1125,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1126,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1127,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1128,"SYDNEY","NSW","CITY PBC OPERATIONS","LVR                                          ","-33.794883","151.268071"
1129,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1130,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1131,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1132,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.66279","150.874265"
1133,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1134,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1135,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1136,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1137,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1138,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1139,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1140,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1141,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1142,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1143,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1144,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1145,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1146,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1147,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1148,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1149,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1150,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1151,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1152,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1153,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1154,"SYDNEY","NSW","GPO BOX CENTRE","LVR                                          ","-33.794883","151.268071"
1155,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1156,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1157,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1158,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1159,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1160,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1161,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1162,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1163,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1164,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1165,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1166,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1167,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1168,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1169,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1170,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1171,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1172,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1173,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1174,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1175,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1176,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1177,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1178,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1179,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1180,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1181,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1182,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1183,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1184,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1185,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1186,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1187,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1188,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1189,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1190,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1191,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1192,"SYDNEY","NSW","NULL","LVR                                          ","-34.790684","147.685283"
1193,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1194,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1195,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1196,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1197,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1198,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1199,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1200,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1201,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1202,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1203,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1204,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1205,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1206,"SYDNEY","NSW","NULL","LVR                                          ","-33.794883","151.268071"
1207,"SYDNEY","NSW","EAST SUBS MC","LVR                                          ","-33.794883","151.268071"
1208,"HAYMARKET","NSW","NULL","LVR                                          ","-29.816475","151.659454"
1209,"AUSTRALIA SQUARE","NSW","NULL","LVR                                          ","-33.891788","151.176251"
1210,"AUSTRALIA SQUARE","NSW","EAST SUBS MC","LVR                                          ","-33.891788","151.176251"
1211,"AUSTRALIA SQUARE","NSW","NULL","LVR                                          ","-33.891788","151.176251"
1212,"AUSTRALIA SQUARE","NSW","NULL","LVR                                          ","-33.891788","151.176251"
1213,"AUSTRALIA SQUARE","NSW","NULL","LVR                                          ","-33.891788","151.176251"
1214,"AUSTRALIA SQUARE","NSW","AUSTRALIA SQUARE POST SHOP","LVR                                          ","-33.891788","151.176251"
1215,"AUSTRALIA SQUARE","NSW","AUSTRALIA SQUARE POST SHOP","Post Office Boxes                            ","-33.891788","151.176251"
1216,"GROSVENOR PLACE","NSW","NULL","LVR                                          ","-33.741311","151.034025"
1217,"GROSVENOR PLACE","NSW","NULL","LVR                                          ","-33.741311","151.034025"
1218,"GROSVENOR PLACE","NSW","NULL","LVR                                          ","-33.741311","151.034025"
1219,"GROSVENOR PLACE","NSW","GROSVENOR PLACE POST SHOP","LVR                                          ","-33.741311","151.034025"
